ID,SMILES,Standard value
1884,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,0
67747-09-5,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,1
57-83-0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1
2210,O=C(O)CCl,0
1784,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0
2273,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,0
1611,CCCc1ccc(OC)cc1,0
1813,CC(O)COc1ccccc1,0
1912-24-9,CCNc1nc(Cl)nc(NC(C)C)n1,0
2456,O=C(O)c1cccc(C(=O)O)c1,0
4476,OCCCBr,0
2430,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,0
1685,Cc1ccc(N(C)C)cc1,0
1573,CCCCC(C=O)CC,0
2385,CCOc1nc(F)cc2nc(S(=O)(=O)Nc3c(Cl)cccc3Cl)nn12,0
936,CCSC(=O)N(CC)C1CCCCC1,0
2448,O=C1CCCO1,0
1924,CN(C)CCCN(C)CCCN(C)C,0
1665,CC(=O)C1C(=O)C=C(C)OC1=O,0
2301,CC(Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O,0
2439,NC(=O)O,0
1566,CCCCC(CC)COC(=O)CS,0
2389,CCOCCOCCOCCO,0
2353,CCCCCCCC=O,0
21087-64-9,CSc1nnc(C(C)(C)C)c(=O)n1N,0
82-68-8,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0
2466,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0
1744,OCCOCCOCCOCCO,0
476,COc1ccc(N)cc1,0
1501,COc1cc(S(=O)(=O)O)c(C)cc1N=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12,0
10,Cc1ccccc1N,0
1644,CCCCCCCCCCCCCO,0
2332,CC1COC(=O)O1,0
2467,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC9C(CO)OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,0
2165,Cc1ccc(C(C)(C)C)cc1,0
2213,S=C1NCCN1,0
2175,O=[N+]([O-])C(CO)(CO)CO,0
1759,CN1C(=O)c2ccccc2C1=O,0
1739,CCC[Si](OC)(OC)OC,0
2274,CC(=O)OCC1OC(OC2(COC(C)=O)OC(COC(C)=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0
